GSM362947 	Liver Tumor Tissue LCS-005A
GSM362948 	Liver Tumor Tissue LCS-019A
GSM362949 	Liver Tumor Tissue LCS-029A
GSM362950 	Liver Tumor Tissue LCS-039A
GSM362951 	Liver Non-Tumor Tissue LCS-039B
GSM362952 	Liver Tumor Tissue LCS-254A
GSM362953 	Liver Non-Tumor Tissue LCS-254B
GSM362954 	Liver Tumor Tissue LCS-068A
GSM362955 	Liver Non-Tumor Tissue LCS-068B
GSM362956 	Liver Tumor Tissue LCS-076A
GSM362957 	Liver Non-Tumor Tissue LCS-076B
GSM362958 	Liver Tumor Tissue LCS-079A
GSM362959 	Liver Tumor Tissue LCS-092A
GSM362960 	Liver Tumor Tissue LCS-101A
GSM362961 	Liver Non-Tumor Tissue LCS-079B
GSM362962 	Liver Non-Tumor Tissue LCS-092B
GSM362963 	Liver Non-Tumor Tissue LCS-101B
GSM362964 	Liver Tumor Tissue LCS-083A
GSM362965 	Liver Tumor Tissue LCS-095A
GSM362966 	Liver Tumor Tissue LCS-102A
GSM362967 	Liver Non-Tumor Tissue LCS-083B
GSM362968 	Liver Non-Tumor Tissue LCS-095B
GSM362969 	Liver Non-Tumor Tissue LCS-102B
GSM362970 	Liver Tumor Tissue LCS-085A
GSM362971 	Liver Tumor Tissue LCS-096A
GSM362972 	Liver Tumor Tissue LCS-103A
GSM362973 	Liver Non-Tumor Tissue LCS-085B
GSM362974 	Liver Non-Tumor Tissue LCS-096B
GSM362975 	Liver Non-Tumor Tissue LCS-103B
GSM362976 	Liver Tumor Tissue LCS-091A
GSM362977 	Liver Tumor Tissue LCS-099A
GSM362978 	Liver Tumor Tissue LCS-105A
GSM362979 	Liver Non-Tumor Tissue LCS-091B
GSM362980 	Liver Non-Tumor Tissue LCS-099B
GSM362981 	Liver Non-Tumor Tissue LCS-105B
GSM362982 	Liver Tumor Tissue LCS-122A
GSM362983 	Liver Tumor Tissue LCS-004A
GSM362984 	Liver Tumor Tissue LCS-130A
GSM362985 	Liver Non-Tumor Tissue LCS-004B
GSM362986 	Liver Tumor Tissue LCS-123A
GSM362987 	Liver Tumor Tissue LCS-007A
GSM362988 	Liver Tumor Tissue LCS-135A
GSM362989 	Liver Non-Tumor Tissue LCS-123B
GSM362990 	Liver Non-Tumor Tissue LCS-007B
GSM362991 	Liver Non-Tumor Tissue LCS-135B
GSM362992 	Liver Tumor Tissue LCS-125A
GSM362993 	Liver Tumor Tissue LCS-127A
GSM362994 	Liver Tumor Tissue LCS-136A
GSM362995 	Liver Non-Tumor Tissue LCS-125B
GSM362996 	Liver Non-Tumor Tissue LCS-127B
GSM362997 	Liver Non-Tumor Tissue LCS-136B
GSM362998 	Liver Non-Tumor Tissue LCS-122B
GSM362999 	Liver Non-Tumor Tissue LCS-130B
GSM363000 	Liver Non-Tumor Tissue LCS-024B
GSM363001 	Liver Non-Tumor Tissue LCS-212B
GSM363002 	Liver Non-Tumor Tissue LCS-180B
GSM363003 	Liver Non-Tumor Tissue LCS-183B
GSM363004 	Liver Non-Tumor Tissue LCS-153B
GSM363005 	Liver Non-Tumor Tissue LCS-042B
GSM363006 	Liver Non-Tumor Tissue LCS-018B
GSM363007 	Liver Non-Tumor Tissue LCS-062B
GSM363008 	Liver Tumor Tissue LCS-188A
GSM363009 	Liver Tumor Tissue LCS-185A
GSM363010 	Liver Tumor Tissue LCS-154A
GSM363011 	Liver Tumor Tissue LCS-120A
GSM363012 	Liver Tumor Tissue LCS-286A
GSM363013 	Liver Tumor Tissue LCS-086A
GSM363014 	Liver Tumor Tissue LCS-023A
GSM363015 	Liver Tumor Tissue LCS-177A
GSM363016 	Liver Tumor Tissue LCS-140A
GSM363017 	Liver Tumor Tissue LCS-035A
GSM363018 	Liver Non-Tumor Tissue LCS-188B
GSM363019 	Liver Non-Tumor Tissue LCS-185B
GSM363020 	Liver Non-Tumor Tissue LCS-154B
GSM363021 	Liver Non-Tumor Tissue LCS-120B
GSM363022 	Liver Non-Tumor Tissue LCS-286B
GSM363023 	Liver Non-Tumor Tissue LCS-238B
GSM363024 	Liver Non-Tumor Tissue LCS-086B
GSM363025 	Liver Non-Tumor Tissue LCS-023B
GSM363026 	Liver Non-Tumor Tissue LCS-177B
GSM363027 	Liver Non-Tumor Tissue LCS-035B
GSM363028 	Liver Non-Tumor Tissue LCS-275B
GSM363029 	Liver Tumor Tissue LCS-132A
GSM363030 	Liver Tumor Tissue LCS-205A
GSM363031 	Liver Tumor Tissue LCS-274A
GSM363032 	Liver Tumor Tissue LCS-159A
GSM363033 	Liver Tumor Tissue LCS-150A
GSM363034 	Liver Tumor Tissue LCS-014A
GSM363035 	Liver Tumor Tissue LCS-227A
GSM363036 	Liver Tumor Tissue LCS-283A
GSM363037 	Liver Tumor Tissue LCS-162A
