Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,enrichr
Glucuronidation WP698,5/26,8.21623711225441e-9,3.878063916984081e-6,0,0,69.93006993006993,1301.898846497891,UGT1A1;UGT1A5;UGT1A3;UGT1A9;UGT1A8,WikiPathways 2019 Human
Codeine and Morphine Metabolism WP1604,4/15,6.829149802819084e-8,1.6116793534653036e-5,0,0,96.96969696969697,1599.9496298607933,UGT1A1;UGT1A3;UGT1A9;UGT1A8,WikiPathways 2019 Human
Estrogen metabolism WP697,3/18,1.5594182774792405e-5,0.0024534847565673384,0,0,60.60606060606061,670.825006806345,UGT1A1;UGT1A3;UGT1A9,WikiPathways 2019 Human
Pregnane X Receptor pathway WP2876,3/33,1.0126576313239183e-4,0.009559488039697788,0,0,33.057851239669425,304.05825384585546,UGT1A1;UGT1A3;UGT1A9,WikiPathways 2019 Human
Constitutive Androstane Receptor Pathway WP2875,3/32,9.223912694790273e-5,0.010884216979852522,0,0,34.09090909090909,316.7429368313746,UGT1A1;UGT1A3;UGT1A9,WikiPathways 2019 Human
Aryl Hydrocarbon Receptor Pathway WP2873,3/46,2.74712367882246e-4,0.021610706273403352,0,0,23.715415019762847,194.4613267029972,UGT1A1;UGT1A3;UGT1A9,WikiPathways 2019 Human
Irinotecan Pathway WP229,2/13,5.680161453256235e-4,0.038300517227670604,0,0,55.944055944055954,418.090109917653,UGT1A1;UGT1A9,WikiPathways 2019 Human
Glucuronidation WP1241,2/16,8.692599027475671e-4,0.050996580961190606,0,0,45.45454545454546,320.35765431144495,UGT1A1;UGT1A5,WikiPathways 2019 Mouse
Irinotecan Pathway WP475,2/10,3.2944057318529184e-4,0.05798154088061136,0,0,72.72727272727273,583.13560544063,UGT1A1;UGT1A9,WikiPathways 2019 Mouse
Estrogen metabolism WP1264,2/14,6.615177095993661e-4,0.05821355844474421,0,0,51.94805194805195,380.31032742267513,UGT1A1;UGT1A9,WikiPathways 2019 Mouse
Metapathway biotransformation Phase I and II WP702,4/183,0.00160760071235222,0.09484844202878098,0,0,7.948335817188276,51.131743286827515,UGT1A1;UGT1A5;UGT1A3;UGT1A9,WikiPathways 2019 Human
Metapathway biotransformation WP1251,3/141,0.00688597425524754,0.30298286723089174,0,0,7.7369439071566735,38.51658532133173,UGT1A1;UGT1A5;UGT1A9,WikiPathways 2019 Mouse
NRF2 pathway WP2884,3/146,0.007577131048329178,0.3576405854811372,0,0,7.4719800747198,36.48284413927386,UGT1A1;UGT1A3;UGT1A9,WikiPathways 2019 Human
Regulation of Microtubule Cytoskeleton WP2038,2/46,0.007112060214566488,0.37298804680837583,0,0,15.810276679841898,78.1970484457121,APC;KIF2C,WikiPathways 2019 Human
Arylamine metabolism WP694,1/6,0.016388876219180396,0.6446291312877622,0,0,60.60606060606061,249.16075476398422,UGT1A9,WikiPathways 2019 Human
Nicotine Metabolism WP1600,1/6,0.016388876219180396,0.7032317795866497,0,0,60.60606060606061,249.16075476398422,UGT1A9,WikiPathways 2019 Human
A-CA-04-2009(H1N1) 18Hour GSE37571,3/300,0.04951333058749944,1,0,0,3.6363636363636367,10.92913942132928,POM121L4P;POM121L8P;GFRA2,Virus Perturbations from GEO up
cSARS Bat SRBD 0Hour GSE37827,3/300,0.04951333058749944,1,0,0,3.6363636363636367,10.92913942132928,POM121L10P;SLC34A1;KIF2C,Virus Perturbations from GEO up
A-CA-04-2009(H1N1) 48Hour GSE40844,3/300,0.04951333058749944,1,0,0,3.6363636363636367,10.92913942132928,CORT;POM121L8P;NUDT4,Virus Perturbations from GEO up
A-VN-1203-2004(H5N1) Day1-10^2pfu GSE33263,3/300,0.04951333058749944,1,0,0,3.6363636363636367,10.92913942132928,NDUFA2;SIRT4;ENOX1,Virus Perturbations from GEO up
icSARS CoV 7Hour GSE37827,3/300,0.04951333058749944,1,0,0,3.6363636363636367,10.92913942132928,METTL2B;ANKRD26;PLXNA2,Virus Perturbations from GEO up
A-Vietnam-1203 CIP048 RG3-2004(H5N1)mutPB1-F2del 0Hour GSE43203,3/300,0.04951333058749944,1,0,0,3.6363636363636367,10.92913942132928,CCL25;POM121L1P;NUDT4,Virus Perturbations from GEO up
A-Vietnam-1203 CIP048 RG3-2004(H5N1)mutPB1-F2del 7Hour GSE43203,3/300,0.04951333058749944,1,0,0,3.6363636363636367,10.92913942132928,CORT;MFNG;MYO16,Virus Perturbations from GEO up
A-Vietnam-1203 CIP048 RG3-2004(H5N1)mutPB2-627E 7Hour GSE43203,3/300,0.04951333058749944,1,0,0,3.6363636363636367,10.92913942132928,CORT;MFNG;CGGBP1,Virus Perturbations from GEO up
SARS-CoV MA15 Day1-PFU-10^4 GSE33266,3/300,0.04951333058749944,1,0,0,3.6363636363636367,10.92913942132928,EPHB6;GFRA2;ENOX1,Virus Perturbations from GEO up
SARS-dORF6 48Hour GSE47960,2/300,0.19963676191554863,1,0,0,2.4242424242424248,3.906074555466271,ARHGAP19;PLXNA2,Virus Perturbations from GEO up
A-CA-04-2009(H1N1) 0Hour GSE40844,2/300,0.19963676191554863,1,0,0,2.4242424242424248,3.906074555466271,POM121L10P;TTC39A,Virus Perturbations from GEO up
