Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,enrichr
Complement and Coagulation Cascades WP558,31/58,6.863951285473036e-32,3.239785006743273e-29,0,0,17.438262924002924,1251.3076621664877,CPB2;CFH;C1S;C1R;SERPINC1;PROS1;CFI;PLG;TFPI;CLU;KNG1;SERPINA5;C2;C4B;C8G;C6;C9;FGB;F10;SERPIND1;SERPINF2;F2;F5;F7;F9;PROC;SERPING1;MASP2;F13B;KLKB1;CFB,WikiPathways 2019 Human
Complement and Coagulation Cascades WP449,29/62,1.0565875412462025e-27,1.8595940725933164e-25,0,0,15.260748302899541,947.9176129027927,CPB2;CFH;SERPINC1;PROS1;CFI;PLG;TFPI;KNG1;SERPINA5;C2;C4B;C8G;C6;C9;FGB;F10;SERPIND1;SERPINF2;F11;F2;F5;F7;F9;PROC;SERPING1;MASP2;F13B;KLKB1;CFB,WikiPathways 2019 Mouse
Metapathway biotransformation Phase I and II WP702,41/183,5.507713835741515e-24,1.2998204652349974e-21,0,0,7.309746030897048,391.4799734125035,UGT1A10;TPMT;AKR1D1;MGST2;UGT2B28;GLYAT;CYP3A4;CYP2C18;CYP3A5;SULT1A1;AKR7A3;UGT1A5;UGT1A4;UGT1A3;UGT1A9;SULT1A4;UGT1A7;SULT2A1;SULT1A2;UGT1A6;CYP2J2;GSTK1;GPX4;UGT1A1;GSTO1;CYP4F2;EPHX2;CYP4F3;AKR1C2;AKR1C4;FMO3;BAAT;FMO5;CYP39A1;CYP27A1;CYP2C9;CYP2C8;NAT2;GSTA2;CYP1A2;GSTA1,WikiPathways 2019 Human
Constitutive Androstane Receptor Pathway WP2875,18/32,1.4083632554837371e-19,2.215824855294413e-17,0,0,18.35236541598695,796.6154097395349,ALAS1;ABCC2;UGT1A1;NR1I3;CYP4A11;CYP3A4;CYP3A5;SULT1A1;CYP2C9;RXRA;GSTA2;EHHADH;UGT1A4;UGT1A3;UGT1A9;PPARGC1A;SULT2A1;UGT1A6,WikiPathways 2019 Human
Nuclear Receptors Meta-Pathway WP2882,47/319,2.966511011909927e-19,3.500482994053714e-17,0,0,4.807028489314589,205.0761527060173,ALAS1;NR1I3;ABHD2;NR1I2;MGST2;SLC2A2;IRS2;DBI;CYP3A4;CYP3A5;EGFR;SULT1A1;EPB41L4B;SLCO1B1;RXRA;SCP2;SLCO2B1;UGT1A4;UGT1A3;ACADM;PCK1;ACAA1;UGT1A9;PPARGC1A;UGT1A7;SULT2A1;UGT1A6;ABCC2;UGT1A1;SLC10A1;CYP4A11;NR1H4;BAAT;PRDX6;SLC39A14;KTN1;CYP2C9;GCLC;ACOX1;GSTA2;EHHADH;CYP1A2;GSTA1;BLVRB;CES2;SLC27A5;CES1,WikiPathways 2019 Human
Human Complement System WP2806,27/97,7.6476416900104915e-19,7.219373755369903e-17,0,0,9.081582886261584,378.83568219321967,APCS;FKBP2;CFH;C1S;C1R;PROS1;CFI;C4BPA;PLG;C8A;C2;CPN1;C4A;C5;C6;C9;FGB;FGA;F10;F11;CFHR2;CFHR4;ALB;SERPING1;MASP2;KLKB1;CFB,WikiPathways 2019 Human
Amino Acid metabolism WP3925,26/91,1.6551847659238145e-18,1.302078682526734e-16,0,0,9.321836401771149,381.66039646006635,FH;ADH1C;MAOA;TAT;HMGCL;TDO2;CBS;ACADM;ACAA1;PCK1;MPST;GOT1;ARG1;IDH1;SDHA;FAH;ASS1;HAL;BHMT;PC;CPS1;EHHADH;CTH;ALDH1A1;SUCLG1;ALDH7A1,WikiPathways 2019 Human
Irinotecan Pathway WP229,11/13,1.5145302827914653e-15,1.021226133539388e-13,0,0,27.606977036014555,942.0514030172825,UGT1A10;BCHE;SLCO1B1;ABCC2;UGT1A1;CYP3A4;UGT1A9;CYP3A5;CES2;CES1;ABCG2,WikiPathways 2019 Human
Complement Activation WP545,13/22,7.172913531947247e-15,4.2320189838488754e-13,0,0,19.279252558208512,627.8956519982873,C1S;C1R;C8B;C8A;C2;C4B;C4A;C5;C8G;C6;C9;MASP2;CFB,WikiPathways 2019 Human
Tryptophan metabolism WP465,17/46,1.1432950583369465e-14,5.396352675350388e-13,0,0,12.05759273707355,387.076179667273,CYP2J2;GCDH;ECHS1;MAOB;HAAO;CYP3A4;HSD17B10;CYP2C18;ACAT1;ALDH3A2;TDO2;ALDH2;KYNU;ALDH1A1;CYP1A2;AOX1;ALDH9A1,WikiPathways 2019 Human
