Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,enrichr
Glucuronidation WP698,5/26,8.21623711225441e-9,3.878063916984081e-6,0,0,69.93006993006993,1301.898846497891,UGT1A1;UGT1A5;UGT1A3;UGT1A9;UGT1A8,WikiPathways 2019 Human
Codeine and Morphine Metabolism WP1604,4/15,6.829149802819084e-8,1.6116793534653036e-5,0,0,96.96969696969697,1599.9496298607933,UGT1A1;UGT1A3;UGT1A9;UGT1A8,WikiPathways 2019 Human
Estrogen metabolism WP697,3/18,1.5594182774792405e-5,0.0024534847565673384,0,0,60.60606060606061,670.825006806345,UGT1A1;UGT1A3;UGT1A9,WikiPathways 2019 Human
Pregnane X Receptor pathway WP2876,3/33,1.0126576313239183e-4,0.009559488039697788,0,0,33.057851239669425,304.05825384585546,UGT1A1;UGT1A3;UGT1A9,WikiPathways 2019 Human
Constitutive Androstane Receptor Pathway WP2875,3/32,9.223912694790273e-5,0.010884216979852522,0,0,34.09090909090909,316.7429368313746,UGT1A1;UGT1A3;UGT1A9,WikiPathways 2019 Human
Aryl Hydrocarbon Receptor Pathway WP2873,3/46,2.74712367882246e-4,0.021610706273403352,0,0,23.715415019762847,194.4613267029972,UGT1A1;UGT1A3;UGT1A9,WikiPathways 2019 Human
HNF1A human,3/26,4.8919217375186e-5,0.027932873121231206,0,0,41.95804195804196,416.4478424612947,UGT1A1;UGT1A9;UGT1A8,TRRUST Transcription Factors 2019
Irinotecan Pathway WP229,2/13,5.680161453256235e-4,0.038300517227670604,0,0,55.944055944055954,418.090109917653,UGT1A1;UGT1A9,WikiPathways 2019 Human
Glucuronidation WP1241,2/16,8.692599027475671e-4,0.050996580961190606,0,0,45.45454545454546,320.35765431144495,UGT1A1;UGT1A5,WikiPathways 2019 Mouse
Irinotecan Pathway WP475,2/10,3.2944057318529184e-4,0.05798154088061136,0,0,72.72727272727273,583.13560544063,UGT1A1;UGT1A9,WikiPathways 2019 Mouse
Estrogen metabolism WP1264,2/14,6.615177095993661e-4,0.05821355844474421,0,0,51.94805194805195,380.31032742267513,UGT1A1;UGT1A9,WikiPathways 2019 Mouse
Metapathway biotransformation Phase I and II WP702,4/183,0.00160760071235222,0.09484844202878098,0,0,7.948335817188276,51.131743286827515,UGT1A1;UGT1A5;UGT1A3;UGT1A9,WikiPathways 2019 Human
A-Vietnam-1203 CIP048 RG3-2004(H5N1)mutPB1-F2del 18Hour GSE43203,5/300,0.0013838306770835287,0.2234886543489899,0,0,6.0606060606060606,39.896362257084434,TMLHE;MFNG;OIP5;NUDT4;ZNF365,Virus Perturbations from GEO down
Metapathway biotransformation WP1251,3/141,0.00688597425524754,0.30298286723089174,0,0,7.7369439071566735,38.51658532133173,UGT1A1;UGT1A5;UGT1A9,WikiPathways 2019 Mouse
NRF2 pathway WP2884,3/146,0.007577131048329178,0.3576405854811372,0,0,7.4719800747198,36.48284413927386,UGT1A1;UGT1A3;UGT1A9,WikiPathways 2019 Human
Regulation of Microtubule Cytoskeleton WP2038,2/46,0.007112060214566488,0.37298804680837583,0,0,15.810276679841898,78.1970484457121,APC;KIF2C,WikiPathways 2019 Human
icSARS CoV 7Hour GSE37827,5/300,0.0013838306770835287,0.4469773086979798,0,0,6.0606060606060606,39.896362257084434,IL25;SCGB1D2;SLC34A1;MFNG;POM121L1P,Virus Perturbations from GEO down
Arylamine metabolism WP694,1/6,0.016388876219180396,0.6446291312877622,0,0,60.60606060606061,249.16075476398422,UGT1A9,WikiPathways 2019 Human
Nicotine Metabolism WP1600,1/6,0.016388876219180396,0.7032317795866497,0,0,60.60606060606061,249.16075476398422,UGT1A9,WikiPathways 2019 Human
CDX2 human,2/32,0.0034931271287104763,0.997287795246841,0,0,22.72727272727273,128.56722542137427,APC;UGT1A8,TRRUST Transcription Factors 2019
SOX10 (mouse),4/451,0.03530296489991995,1,0,0,3.225156218504334,10.784239716414676,IK;NDUFA2;KLK5;MYO16,TRANSFAC and JASPAR PWMs
MYOD1 (human),2/109,0.03623907574667851,1,0,0,6.672226855713095,22.135895258124652,CCDC121;REPS2,TRANSFAC and JASPAR PWMs
CBFB (human),5/774,0.06096108225237639,1,0,0,2.349072116513977,6.5715753213001475,IK;IL25;APC;SLC34A1;ENOX1,TRANSFAC and JASPAR PWMs
STAT5B (human),7/1379,0.08249674024629429,1,0,0,1.8458698661744346,4.605438852954791,INPP4A;UGT1A1;GOSR1;NDUFA2;UGT1A9;ZNF365;ENOX1,TRANSFAC and JASPAR PWMs
TFAP2C (human),7/1485,0.11115310491138562,1,0,0,1.7141108050198959,3.765638673218654,EPHB6;CORT;SLC34A1;REPS2;PLXNA2;ZNF365;C1QL1,TRANSFAC and JASPAR PWMs
CPEB1 (human),1/47,0.12153299209628249,1,0,0,7.7369439071566735,16.306147103866287,ANKRD26,TRANSFAC and JASPAR PWMs
HNF1A (human),8/1855,0.13361228408751843,1,0,0,1.5682430776770402,3.156580172065394,UGT1A1;APC;SCGB1D2;GOSR1;CCDC7;PLAGL2;UGT1A9;ZCCHC4,TRANSFAC and JASPAR PWMs
RUNX1 (mouse),1/53,0.1359638603430485,1,0,0,6.86106346483705,13.69033386848025,IL25,TRANSFAC and JASPAR PWMs
